Number of scans,Number of scans before first consumer scan,Number of owners,Days since last scan,Days since manufactured,Days from manufactured to first scan,Days from manufactured to market release,Number of countries,Distance from selling point,Online selling,EU manufactured,Matching market and sale country,EU entry point,Days to expire,EU entry transport,Medicine category,Pack size,Pack type,Brand,Inspected?,Alert,Country Stamp,Suspicious level month stamp,Suspicious level year stamp,Suspicious level country stamp
8,7,5,70,94,17,16,7,131,0,0,0,22,105,Sea,Hormones,13 to 28 doses,Bag,9,1,0,20,May,2020,0
31,17,3,73,161,87,83,10,3989,0,0,0,5,310,Road,Cytostatic,13 to 28 doses,Bottle,6,0,0,23,Dec,2019,0
4,2,2,52,114,31,25,2,361,0,0,0,14,180,Road,Hormones,13 to 28 doses,Bottle,0,0,0,2,Aug,2021,0
10,7,6,116,133,5,5,2,4436,0,0,0,22,228,Sea,Cytostatic,12 or less doses,Bag,4,0,0,18,May,2021,0
17,14,2,45,99,34,32,8,2676,0,0,0,5,93,Air,Anti-infective,more than 28 doses,Bag,6,1,0,4,Jan,2018,0
2,1,4,46,57,5,5,9,1679,0,0,0,9,223,Sea,Cytostatic,13 to 28 doses,Bottle,0,0,0,24,Apr,2018,0
8,5,8,35,43,8,6,8,4980,0,0,0,10,154,Road,Anti-infective,more than 28 doses,Bag,7,0,0,21,Apr,2019,0
4,3,7,56,69,5,4,12,3415,0,0,0,20,308,Mail/Courier,Anti-infective,12 or less doses,Bag,7,0,0,3,Aug,2019,0
21,14,6,54,73,3,2,0,1515,0,0,0,19,264,Sea,Cytostatic,more than 28 doses,Bag,6,1,0,6,Aug,2021,0
27,18,6,10,16,0,0,9,4044,0,0,0,23,69,Air,CNS,13 to 28 doses,Bag,6,0,0,15,Aug,2020,0
18,15,4,41,47,1,1,8,2923,0,0,0,28,103,Mail/Courier,Cytostatic,12 or less doses,Bottle,5,0,0,2,Sep,2020,0
29,16,3,71,96,1,1,14,4285,0,0,0,20,268,Air,Anti-infective,13 to 28 doses,Bottle,2,0,0,6,Jul,2020,0
16,11,1,85,98,4,4,13,32,0,0,0,6,219,Road,CNS,12 or less doses,Bottle,6,0,0,1,May,2018,0
30,15,8,88,113,18,11,1,3520,0,0,0,26,315,Road,Hormones,12 or less doses,Box,2,0,0,23,Aug,2020,0
